split,method,K,hit,mrr,ndcg,n_examples,n_with_relevant,alpha,transformer,graph_method
test,fusion_author_retriever_graphsage_author_metacluster_a0p40,10,0.020780537252914344,0.007019163468732653,0.008881486958053214,1973,279,0.4,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p40,50,0.047136340598074,0.008265533312789218,0.014188542141718297,1973,279,0.4,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p40,100,0.06132792701469843,0.00847468026554193,0.016340207754614196,1973,279,0.4,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p45,10,0.030677882236516577,0.0132570313297676,0.016027651550878826,2021,280,0.45,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p45,50,0.05591291439881247,0.014273248309757002,0.021346199181507253,2021,280,0.45,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p45,100,0.06679861454725383,0.014421813091373642,0.023016916398091985,2021,280,0.45,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p45,10,0.021287379624936646,0.006981954802532604,0.008986292494801044,1973,279,0.45,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p45,50,0.047136340598074,0.008186059001971507,0.01415559321625355,1973,279,0.45,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p45,100,0.06031424227065383,0.008382736675790049,0.016149776646166753,1973,279,0.45,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p50,10,0.030677882236516577,0.013196555217831814,0.01597091652385872,2021,280,0.5,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p50,50,0.05541810984661059,0.014207373397370054,0.021252014006595397,2021,280,0.5,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p50,100,0.06630380999505195,0.014358832005253837,0.022912741950422356,2021,280,0.5,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p50,10,0.021287379624936646,0.007186099646819363,0.009133730962953215,1973,279,0.5,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p50,50,0.047136340598074,0.008384108956084537,0.014295400569828406,1973,279,0.5,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p50,100,0.05980739989863153,0.008574188869823224,0.01623880746998848,1973,279,0.5,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p55,10,0.030677882236516577,0.013509342381188002,0.01617860505616614,2021,280,0.55,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p55,50,0.05541810984661059,0.014517162580738275,0.02145402503637035,2021,280,0.55,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p55,100,0.0653142008906482,0.014656970347746611,0.022915826646687686,2021,280,0.55,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p55,10,0.021287379624936646,0.007180468064908004,0.009127666508140194,1973,279,0.55,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p55,50,0.0466294982260517,0.008366467025002882,0.014191440937538031,1973,279,0.55,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p55,100,0.05980739989863153,0.008564548600235216,0.0162188451021798,1973,279,0.55,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p60,10,0.031172686788718457,0.013201463993151277,0.016174013072029977,2021,280,0.6,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p60,50,0.05541810984661059,0.014155073497809612,0.02129713098364828,2021,280,0.6,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p60,100,0.06481939633844631,0.014289452173998966,0.022722353624760893,2021,280,0.6,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p60,10,0.021287379624936646,0.007180468064908003,0.009127666508140193,1973,279,0.6,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p60,50,0.0466294982260517,0.008358727000430024,0.014181926297432177,1973,279,0.6,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p60,100,0.05980739989863153,0.008554848036601208,0.016204658142828086,1973,279,0.6,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p65,10,0.031172686788718457,0.013188897528333451,0.016159885142179718,2021,280,0.65,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p65,50,0.05541810984661059,0.014125153947623094,0.02125405455947107,2021,280,0.65,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p65,100,0.06481939633844631,0.01425884072386848,0.02267739877544996,2021,280,0.65,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p65,10,0.021794221996958945,0.0072747970619232655,0.009272081497473753,1973,279,0.65,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p65,50,0.046122655854029394,0.008379902611055144,0.014128452029744134,1973,279,0.65,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p65,100,0.05980739989863153,0.008584305028657263,0.016235225200326955,1973,279,0.65,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p70,10,0.031172686788718457,0.013187523071244002,0.016133880390282025,2021,280,0.7,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p70,50,0.053933696190004946,0.01408522823575989,0.020983849509759078,2021,280,0.7,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p70,100,0.06481939633844631,0.014246284664094179,0.022630567413787987,2021,280,0.7,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p70,10,0.021287379624936646,0.007174836482996645,0.009093338205109939,1973,279,0.7,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p70,50,0.0451089711099848,0.008298649522144336,0.013900534314214842,1973,279,0.7,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p70,100,0.06031424227065383,0.008525957841503274,0.01625619158274668,1973,279,0.7,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p75,10,0.031172686788718457,0.012898887082459572,0.015985061114430325,2021,280,0.75,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p75,50,0.053933696190004946,0.013789044362784168,0.020820998943320283,2021,280,0.75,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p75,100,0.06432459178624443,0.013943462942138229,0.022389935234893306,2021,280,0.75,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p75,10,0.021287379624936646,0.007266349689056227,0.009167015161365996,1973,279,0.75,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p75,50,0.0451089711099848,0.00837488771431193,0.013952511973518726,1973,279,0.75,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p75,100,0.06031424227065383,0.008599393054517445,0.016301055147427676,1973,279,0.75,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p80,10,0.030677882236516577,0.012781272825805236,0.015742692410581474,2021,280,0.8,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p80,50,0.053933696190004946,0.01370170572135812,0.020637381606126937,2021,280,0.8,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p80,100,0.06481939633844631,0.013858963852437504,0.02232797618676835,2021,280,0.8,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p80,10,0.021287379624936646,0.00731924633343792,0.009215711438023045,1973,279,0.8,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p80,50,0.0451089711099848,0.0084204908963402,0.013987323712293116,1973,279,0.8,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p80,100,0.05980739989863153,0.008636262157513425,0.01625022343351855,1973,279,0.8,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p85,10,0.029688273132112815,0.012709212004115518,0.015391018390617024,2021,280,0.85,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p85,50,0.05294408708560119,0.013686536426070359,0.020403541972002497,2021,280,0.85,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p85,100,0.0653142008906482,0.013864865340647856,0.022381983673788575,2021,280,0.85,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p85,10,0.021287379624936646,0.007257902316189189,0.009165188997942457,1973,279,0.85,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p85,50,0.0451089711099848,0.008356989578814113,0.013930724965632926,1973,279,0.85,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p85,100,0.059300557526609225,0.008563802347211968,0.01610642178015102,1973,279,0.85,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p90,10,0.029193468579910935,0.012720993064882228,0.015294555945476263,2021,280,0.9,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p90,50,0.05244928253339931,0.013718404706458442,0.020330227900135254,2021,280,0.9,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p90,100,0.0653142008906482,0.013903315585926562,0.022387151658383023,2021,280,0.9,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p90,10,0.020780537252914344,0.007339560253903893,0.009142228971185388,1973,279,0.9,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p90,50,0.0451089711099848,0.008472174087299052,0.013976823754250774,1973,279,0.9,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p90,100,0.05879371515458692,0.008670337500198707,0.01605009524349675,1973,279,0.9,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p95,10,0.029193468579910935,0.012540742835151542,0.015183099382594944,2021,280,0.95,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p95,50,0.05195447798119743,0.013506512892792406,0.020097456585805102,2021,280,0.95,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p95,100,0.06432459178624443,0.013687121784930001,0.022111060118809478,2021,280,0.95,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p95,10,0.020780537252914344,0.0073980884801969436,0.009181339862713807,1973,279,0.95,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p95,50,0.04409528636594019,0.008509630333734333,0.013823556538131766,1973,279,0.95,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p95,100,0.05828687278256462,0.008720173176776152,0.01599249751847934,1973,279,0.95,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a1p00,10,0.029193468579910935,0.012449439614209528,0.0151469178239845,2021,280,1.0,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a1p00,50,0.051459673428995545,0.013386054692040517,0.01994247653568966,2021,280,1.0,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a1p00,100,0.06432459178624443,0.01357381031850214,0.02203471432427345,2021,280,1.0,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a1p00,10,0.019766852508869743,0.007315022647004401,0.008923825452751095,1973,279,1.0,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a1p00,50,0.04409528636594019,0.00848873782542133,0.013793478388404955,1973,279,1.0,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a1p00,100,0.05828687278256462,0.008696960846422642,0.015955848005352467,1973,279,1.0,author_retriever,graphsage_author_metacluster
