split,method,K,hit,mrr,ndcg,n_examples,n_with_relevant,alpha,transformer,graph_method
val,fusion_author_retriever_graphsage_author_a0p35,10,0.029688273132112815,0.012819953975322606,0.015606623332576511,2021,280,0.35,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p35,50,0.050470064324591786,0.013775497033735876,0.020260466202847972,2021,280,0.35,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p35,100,0.06185056902523503,0.013936889368205554,0.02198556223225542,2021,280,0.35,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p35,10,0.02331474911302585,0.008528829676827651,0.010373678388464725,1973,279,0.35,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p35,50,0.047136340598074,0.009512332592440257,0.015094807718056174,1973,279,0.35,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p35,100,0.06284845413076533,0.009742934637449545,0.017579713570515233,1973,279,0.35,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p40,10,0.029193468579910935,0.012822899240514283,0.015467585912942576,2021,280,0.4,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p40,50,0.05195447798119743,0.013849239141745219,0.0204805324996216,2021,280,0.4,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p40,100,0.06234537357743691,0.01399220845570286,0.022066981928748414,2021,280,0.4,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p40,10,0.02280790674100355,0.008378184860698799,0.010151753110275321,1973,279,0.4,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p40,50,0.0466294982260517,0.00939594570054254,0.014956073607579421,1973,279,0.4,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p40,100,0.06234161175874303,0.009628519268404382,0.017439529231405997,1973,279,0.4,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p45,10,0.029688273132112815,0.01312940317146156,0.01571011673148096,2021,280,0.45,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p45,50,0.05195447798119743,0.014092338469370195,0.02056311228308985,2021,280,0.45,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p45,100,0.0628401781296388,0.014243769057167703,0.022269360075067118,2021,280,0.45,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p45,10,0.022301064368981247,0.008279431049324614,0.01003311175298885,1973,279,0.45,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p45,50,0.047136340598074,0.009347981352229294,0.015005200675219245,1973,279,0.45,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p45,100,0.06234161175874303,0.009567749187391724,0.017392611167265506,1973,279,0.45,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p50,10,0.029193468579910935,0.013286680332697157,0.015698179487731292,2021,280,0.5,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p50,50,0.05195447798119743,0.014274049885403641,0.020613661967806257,2021,280,0.5,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p50,100,0.0628401781296388,0.014427884008158273,0.022327430942359474,2021,280,0.5,author_retriever,graphsage_author
