model,K,hit,mrr,ndcg,n_examples,n_with_relevant
author_retriever,10,0.07403651115618662,0.029260037348272646,0.020959773492232513,986,423
author_retriever,50,0.17038539553752535,0.03333898093314857,0.03699078668295408,986,423
author_retriever,100,0.21196754563894524,0.03395117514649806,0.04486932507800818,986,423
