split,method,K,hit,mrr,ndcg,n_examples,n_with_relevant
val,author_retriever_long_p15,10,0.030183077684314694,0.01252935447641039,0.015308859914325687,2021,280
val,author_retriever_long_p15,50,0.05294408708560119,0.013414160291347578,0.020182572543594898,2021,280
val,author_retriever_long_p15,100,0.06333498268184068,0.013563418652796906,0.02186240849907541,2021,280
test,author_retriever_long_p15,10,0.019766852508869743,0.007046114610737013,0.008737019183323804,1973,279
test,author_retriever_long_p15,50,0.044602128737962494,0.00820346894519525,0.013569829508375295,1973,279
test,author_retriever_long_p15,100,0.05879371515458692,0.008408688199798273,0.015828138594038515,1973,279
