method,level,variant,cluster_size,log10_cluster_size
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,545.0,2.7363965022766426
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,396.0,2.597695185925512
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,507.0,2.705007959333336
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1048.0,3.0203612826477078
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,136.0,2.1335389083702174
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,601.0,2.7788744720027396
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,320.0,2.505149978319906
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,139.0,2.143014800254095
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,341.0,2.5327543789924976
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,397.0,2.598790506763115
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,92.0,1.9637878273455553
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,624.0,2.795184589682424
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1377.0,3.1389339402569236
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,186.0,2.2695129442179165
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,367.0,2.5646660642520893
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,69.0,1.8388490907372552
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,681.0,2.833147111912785
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,42.0,1.6232492903979006
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,722.0,2.858537197569639
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,265.0,2.423245873936808
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,68.0,1.8325089127062364
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,818.0,2.912753303671323
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,73.0,1.863322860120456
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,584.0,2.7664128471123997
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,407.0,2.60959440922522
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,431.0,2.6344772701607315
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1036.0,3.0153597554092144
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,251.0,2.399673721481038
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,74.0,1.8692317197309762
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,436.0,2.639486489268586
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1411.0,3.149527013754348
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,136.0,2.1335389083702174
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1625.0,3.210853365314893
