method_class,method,level,variant,base_variant,K_nonempty,n_assigned_papers,noise_ratio,size_mean,size_p25,size_p50,size_p75,size_p90,top5_concentration,size_balance_entropy,embedding_coherence_lift,assignment_confidence_mean,llm_assigned_fit@10,llm_intruder_accuracy@10,llm_sample_clusters
Baseline,kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,,978,509447,0.0,520.9069529652352,267.5,441.5,686.75,980.3000000000001,0.02098746287641305,0.9680602084329007,0.038713530284983005,1.0,2.206666666666666,0.9333333333333333,30
BERTopic Style,bertopic_style,fine,bertopic_style_fine,,979,179935,0.6468032984785463,183.7946884576098,72.5,112.0,208.5,389.60000000000036,0.03225609247783922,0.9479053611732022,0.05621242809344361,0.7359464764595032,2.453333333333333,0.9666666666666667,30
Baseline,kmeans_umap_baseline,medium,kmeans_umap_baseline_medium,,242,509447,0.0,2105.1528925619837,1058.5,1910.5,2699.0,3693.2000000000003,0.07678325713960432,0.9592155515408988,0.03200335591292578,1.0,2.213333333333333,0.8666666666666667,30
BERTopic Style,bertopic_style,medium,bertopic_style_medium,,242,327205,0.3577251411824979,1352.0867768595042,328.25,580.5,1228.25,2959.9,0.25342216653168503,0.8461097711784349,0.04390168657972793,0.8242347240447998,2.393333333333333,0.9,30
Metacluster,bertopic_style_metacluster,metacluster,bertopic_style_metacluster,,76,162504,0.6810188302217896,2138.2105263157896,1243.0,1761.0,2812.0,3990.5,0.16734972677595628,0.9618199419702419,,,2.236666666666667,0.7666666666666667,30
