variant,K,coherence_weighted,coherence_unweighted,dup_pair_rate,n_pairs_checked,mean_entropy_norm,size_p25,size_p50,size_p75,top5_concentration,noise_ratio
hdbscan_fine,979,2.800978130991747,2.758937691521961,0.10666666666666667,300,0.01926888769864342,72.5,112.0,208.5,0.03225609247783922,0.6468032984785463
hdbscan_medium,242,2.4156935254656866,2.5702479338842976,0.01,300,0.031638148790954924,328.25,580.5,1228.25,0.25342216653168503,0.3577251411824979
kmeans_umap10_k979,979,2.1783895086240572,2.0367722165474973,0.26,300,0.0,267.5,441.5,686.75,0.02098746287641305,0.0
kmeans_umap10_k242,242,1.8682610752443336,1.7851239669421488,0.03333333333333333,300,0.0,1058.5,1910.5,2699.0,0.07678325713960432,0.0
