split,method,cluster_mode,n_examples,hit@10,mrr@10,ndcg@10,hit@50,mrr@50,ndcg@50,hit@100,mrr@100,ndcg@100,n_with_relevant
val,author_retriever,normal_q,2021.0,0.029193468579910935,0.012449439614209528,0.0151469178239845,0.051459673428995545,0.013386054692040517,0.01994247653568966,0.06432459178624443,0.01357381031850214,0.02203471432427345,280.0
val,author_retriever,zero_q_at_inference,2021.0,0.029688273132112815,0.012498920069429717,0.015289948415928036,0.051459673428995545,0.013393271621573132,0.01995079587804203,0.06432459178624443,0.013581027248034755,0.022042867488695224,280.0
test,author_retriever,normal_q,1973.0,0.019766852508869743,0.007315022647004401,0.008923825452751095,0.04409528636594019,0.00848873782542133,0.013793478388404955,0.05828687278256462,0.008696960846422642,0.015955848005352467,279.0
test,author_retriever,zero_q_at_inference,1973.0,0.019766852508869743,0.007315022647004401,0.008923825452751095,0.04409528636594019,0.00848873782542133,0.013793478388404955,0.05828687278256462,0.00869671770311407,0.015955250902018315,279.0
